id,外貌,星座,状态,性格,消费观念,是否接收私房钱,收入,男生收入,男生消费情况,男生颜值,结果
89,2,4,3,2,3,2,3,1,1,1,2
89,2,4,3,2,3,2,3,1,1,2,1
89,2,4,3,2,3,2,3,1,2,1,3
89,2,4,3,2,3,2,3,1,2,2,1
89,2,4,3,2,3,2,3,2,1,1,2
89,2,4,3,2,3,2,3,2,1,2,1
89,2,4,3,2,3,2,3,2,2,1,2
89,2,4,3,2,3,2,3,2,2,2,1
90,2,2,2,2,1,2,2,1,1,1,5
90,2,2,2,2,1,2,2,1,1,2,4
90,2,2,2,2,1,2,2,1,2,1,4
90,2,2,2,2,1,2,2,1,2,2,1
90,2,2,2,2,1,2,2,2,1,1,3
90,2,2,2,2,1,2,2,2,1,2,1
90,2,2,2,2,1,2,2,2,2,1,1
90,2,2,2,2,1,2,2,2,2,2,1
91,1,3,3,3,1,2,1,1,1,1,3
91,1,3,3,3,1,2,1,1,1,2,1
91,1,3,3,3,1,2,1,1,2,1,2
91,1,3,3,3,1,2,1,1,2,2,2
91,1,3,3,3,1,2,1,2,1,1,3
91,1,3,3,3,1,2,1,2,1,2,1
91,1,3,3,3,1,2,1,2,2,1,3
91,1,3,3,3,1,2,1,2,2,2,2
93,2,4,1,1,1,2,3,1,1,1,5
93,2,4,1,1,1,2,3,1,1,2,1
93,2,4,1,1,1,2,3,1,2,1,2
93,2,4,1,1,1,2,3,1,2,2,1
93,2,4,1,1,1,2,3,2,1,1,2
93,2,4,1,1,1,2,3,2,1,2,2
93,2,4,1,1,1,2,3,2,2,1,1
93,2,4,1,1,1,2,3,2,2,2,5
94,2,1,1,2,2,2,3,1,1,1,4
94,2,1,1,2,2,2,3,1,1,2,4
94,2,1,1,2,2,2,3,1,2,1,3
94,2,1,1,2,2,2,3,1,2,2,3
94,2,1,1,2,2,2,3,2,1,1,2
94,2,1,1,2,2,2,3,2,1,2,2
94,2,1,1,2,2,2,3,2,2,1,2
94,2,1,1,2,2,2,3,2,2,2,2
95,2,4,1,1,1,2,3,1,1,1,5
95,2,4,1,1,1,2,3,1,1,2,3
95,2,4,1,1,1,2,3,1,2,1,1
95,2,4,1,1,1,2,3,1,2,2,1
95,2,4,1,1,1,2,3,2,1,1,2
95,2,4,1,1,1,2,3,2,1,2,2
95,2,4,1,1,1,2,3,2,2,1,2
95,2,4,1,1,1,2,3,2,2,2,2
96,2,2,1,2,3,2,3,1,1,1,2
96,2,2,1,2,3,2,3,1,1,2,2
96,2,2,1,2,3,2,3,1,2,1,2
96,2,2,1,2,3,2,3,1,2,2,2
96,2,2,1,2,3,2,3,2,1,1,3
96,2,2,1,2,3,2,3,2,1,2,2
96,2,2,1,2,3,2,3,2,2,1,2
96,2,2,1,2,3,2,3,2,2,2,1
98,2,3,1,1,1,1,3,1,1,1,2
98,2,3,1,1,1,1,3,1,1,2,1
98,2,3,1,1,1,1,3,1,2,1,2
98,2,3,1,1,1,1,3,1,2,2,2
98,2,3,1,1,1,1,3,2,1,1,1
98,2,3,1,1,1,1,3,2,1,2,1
98,2,3,1,1,1,1,3,2,2,1,1
98,2,3,1,1,1,1,3,2,2,2,1
99,2,3,2,1,1,2,2,1,1,1,3
99,2,3,2,1,1,2,2,1,1,2,3
99,2,3,2,1,1,2,2,1,2,1,3
99,2,3,2,1,1,2,2,1,2,2,3
99,2,3,2,1,1,2,2,2,1,1,2
99,2,3,2,1,1,2,2,2,1,2,2
